Age,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Gender_Encoded,Affects_Academic_Performance_Encoded,Academic_Level_Graduate,Academic_Level_High School,Academic_Level_Undergraduate,Relationship_Status_Complicated,Relationship_Status_In Relationship,Relationship_Status_Single,Platform_Facebook,Platform_Instagram,Platform_KakaoTalk,Platform_LINE,Platform_LinkedIn,Platform_Snapchat,Platform_TikTok,Platform_Twitter,Platform_VKontakte,Platform_WeChat,Platform_WhatsApp,Platform_YouTube,Country_Frequency,Country_Australia,Country_Bangladesh,Country_Brazil,Country_Canada,Country_China,Country_Denmark,Country_Finland,Country_France,Country_Germany,Country_India,Country_Ireland,Country_Italy,Country_Japan,Country_Malaysia,Country_Maldives,Country_Mexico,Country_Nepal,Country_Netherlands,Country_New Zealand,Country_Other,Country_Pakistan,Country_Poland,Country_Russia,Country_Singapore,Country_South Korea,Country_Spain,Country_Sri Lanka,Country_Switzerland,Country_Turkey,Country_UAE,Country_UK,Country_USA,Addicted_Score,Usage_Category_Encoded,Adequate_Sleep,Mental_Health_Risk_Encoded,SM_Impact_Score,Lifestyle_Balance
0.9591487544727597,-1.3530232403948397,0.030588559737775238,0.7003106208877476,-0.9001072864440847,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.670384632090545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0.0,0.3498673740053051
-0.48149012042108036,-0.5742650940710415,0.4662438044879092,-1.1073561533945857,1.197663414194196,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.3139820737012303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,1,1,0.3384615384615385,0.28222811671087544
-0.48149012042108036,1.0611270132089343,-2.1476876640128943,-0.20352276625341906,1.197663414194196,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.3139820737012303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,0.6615384615384615,-0.5580901856763925
-1.2018095578680004,1.2947544571060736,-1.1021150766125736,-2.0111895405357525,1.197663414194196,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.26848757775297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,0,0.7076923076923076,-0.39734748010610077
-1.2018095578680004,-1.5866506842919794,1.773209538738311,1.6041440080289142,-0.9001072864440847,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.28886350780513176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,2,0.0,0.7408488063660479
0.9591487544727597,-0.34063765017390224,0.7276369513379894,0.7003106208877476,0.14877806387505557,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.8163533916231985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,0.38461538461538464,0.28779840848806376
-0.48149012042108036,0.9053753839441746,-0.5793287829124124,-1.1073561533945857,1.197663414194196,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.2386263760129351,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,0.6307692307692307,-0.21697612732095484
-0.48149012042108036,-0.8857683526005611,-0.23080458711230575,0.7003106208877476,-0.9001072864440847,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.670384632090545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0.0,0.20583554376657826
-0.48149012042108036,-0.18488602090914247,-0.9278529787125199,-0.20352276625341906,0.14877806387505557,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.670384632090545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0.4153846153846154,-0.07055702917771883
0.23882931702583968,-0.18488602090914247,0.5533748534379357,-0.20352276625341906,0.14877806387505557,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.28886350780513176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,1,1,0.4153846153846154,0.22254641909814327
