Age,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Gender_Encoded,Affects_Academic_Performance_Encoded,Academic_Level_Graduate,Academic_Level_High School,Academic_Level_Undergraduate,Relationship_Status_Complicated,Relationship_Status_In Relationship,Relationship_Status_Single,Platform_Facebook,Platform_Instagram,Platform_KakaoTalk,Platform_LINE,Platform_LinkedIn,Platform_Snapchat,Platform_TikTok,Platform_Twitter,Platform_VKontakte,Platform_WeChat,Platform_WhatsApp,Platform_YouTube,Country_Frequency,Country_Australia,Country_Bangladesh,Country_Brazil,Country_Canada,Country_China,Country_Denmark,Country_Finland,Country_France,Country_Germany,Country_India,Country_Ireland,Country_Italy,Country_Japan,Country_Malaysia,Country_Maldives,Country_Mexico,Country_Nepal,Country_Netherlands,Country_New Zealand,Country_Other,Country_Pakistan,Country_Poland,Country_Russia,Country_Singapore,Country_South Korea,Country_Spain,Country_Sri Lanka,Country_Switzerland,Country_Turkey,Country_UAE,Country_UK,Country_USA,Usage_Category_Encoded,Adequate_Sleep,Mental_Health_Risk_Encoded,SM_Impact_Score,Lifestyle_Balance
-1.186915388018159,0.2238567851584937,-0.32763788208478745,-0.20552043295802125,0.15706306555634025,0.9855499657710435,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.19461438347363022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.5285714285714286,-0.0630541871921182
0.958662428783896,-2.243309145067867,0.5604232746617522,1.6056283824845383,-2.976789610402713,-2.166957864848674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.2945025112564448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0,0.5522167487684729
-0.471722782417474,0.860544767152393,-1.659729617204597,-1.111094840679301,1.201680624209358,1.616051531894987,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3139413103021729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0.6428571428571429,-0.43596059113300495
-1.902107993618844,-1.52703516532473,0.11639269628848238,0.7000539747632586,-1.9321720517496952,-1.5364562987247306,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.04375881409604991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0.0,0.3374384236453202
0.243469823183211,-0.3332451990861685,-0.7716684604580573,-0.20552043295802125,-0.8875544930966774,0.3550483996471,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.861374602169432,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.42857142857142855,-0.049261083743842304
-1.186915388018159,1.8155767401432423,-2.1037601955778666,-2.016669248400581,2.246298182862376,1.616051531894987,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6471810916063712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.8142857142857143,-0.6935960591133005
1.673855034384581,-2.7208251315632914,1.004453853035022,2.511202790205818,-2.976789610402713,-2.7974594309726175,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.6471810916063712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.7241379310344828
-0.471722782417474,0.701372771653918,-0.7716684604580573,-0.20552043295802125,-0.8875544930966774,0.9855499657710435,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.099747799739112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.6142857142857142,-0.23497536945812797
-1.902107993618844,-0.7311751878323557,-0.32763788208478745,0.7000539747632586,-1.9321720517496952,-0.9059547326007871,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.11918659878484006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.10837438423645324
0.243469823183211,-1.2882771720770179,0.11639269628848238,0.7000539747632586,-1.9321720517496952,-1.5364562987247306,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.7226088762951612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0.0,0.29458128078817736
